SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
3faf4abc-9759-4634-a470-1bb915999669,2.00409,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,2.508653,0.5045633,-1,-1,-1,-1,-1,0,0,10.90979,-1,-1,-1,-1,0,0,1,0,0,4.1,1.04,0,0,0,0.5045633,4.1,4.1,4.1,0.03999996,0.03999996,0.03999996,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,3.009141,1.005051,-1,-1,-1,-1,-1,0,0,8.742176,-1,-1,-1,-1,0,0,1,0,0,9.45,1.09,270,3,0.3746234,1.005051,9.45,9.45,9.45,0.08999991,0.08999991,0.08999991,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,3.517502,1.513412,-1,-1,-1,-1,-1,0,0,6.068908,7.707375,-1,-1,-1,0,0,2,0,0,15.05,1.14,24.78685,4,1.36233,1.513412,15.05,15.05,15.05,0.1399999,0.1399999,0.1399999,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,4.039741,2.035651,9.98932,-1,-1,-1,-1,0,0,6.447853,8.302514,-1,-1,-1,0,0,2,0,0,20.9,1.19,123.5528,3,2.785011,2.03565,20.9,20.9,20.9,0.1899998,0.1899998,0.1899998,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,4.542774,2.538684,9.90689,-1,-1,-1,-1,0,0,6.408882,6.775054,-1,-1,-1,0,0,2,0,0,27,1.24,224.846,2,2.741357,2.538684,27,27,27,0.2399998,0.2399998,0.2399998,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,5.045349,3.041259,8.716027,-1,-1,-1,-1,0,0,3.60715,4.541927,-1,-1,-1,0,2,2,0,0,33.35,1.29,17.60598,3,1.956636,3.041258,33.35,33.35,33.35,0.2899997,0.2899997,0.2899997,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,5.545777,3.541687,8.864276,-1,-1,-1,-1,0,0,1.876284,3.212786,-1,-1,-1,1,2,2,0,0,38.61,1.33,331.7555,2,2.82497,3.541687,38.61,38.61,38.61,0.3299997,0.3299997,0.3299997,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,6.046249,4.042159,7.278544,7.526237,-1,-1,-1,0,0,2.989466,3.54639,-1,-1,-1,0,2,2,0,0,45.41,1.38,231.1143,3,2.855829,4.042159,45.41,45.41,45.41,0.3799996,0.3799996,0.3799996,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,6.548704,4.544614,7.015351,5.60391,-1,-1,-1,0,0,2.623012,3.720489,10.65918,-1,-1,0,2,3,0,0,52.46,1.43,142.0598,1,2.325616,4.544614,52.46,52.46,52.46,0.4299996,0.4299996,0.4299996,0,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,7.053852,5.049762,9.671124,5.787435,-1,-1,-1,0,0,3.440228,4.008989,6.415588,-1,-1,0,2,3,0,1,59.75999,1.48,100.4601,1,3.359953,5.049762,59.75999,59.75999,59.75999,0.4799995,0.4799995,0.4799995,1,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,7.56112,5.55703,12.17302,8.475418,-1,-1,-1,0,0,1.984894,3.063418,6.492595,-1,-1,1,2,3,0,0,67.30999,1.529999,3.344826,3,3.122821,5.557029,63.20999,67.30999,67.30999,0.4899995,0.5299995,0.5299995,1,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,8.061332,6.057241,12.06966,9.574037,7.850832,-1,-1,0,0,2.11764,4.14839,8.663973,-1,-1,1,2,3,0,0,75.10999,1.579999,32.03859,5,2.411297,6.05724,65.66,75.10999,75.10999,0.4899995,0.5799994,0.5799994,1,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,8.561996,6.557905,13.03848,9.854736,7.199765,-1,-1,0,0,2.584359,5.099487,9.269721,-1,-1,0,1,3,0,0,81.52999,1.619999,178.3288,2,1.957466,6.557904,67.62,81.52999,81.52999,0.4899995,0.6199994,0.6199994,1,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,9.06877,7.06468,11.32911,7.16336,4.447476,-1,-1,0,0,2.559824,7.180716,12.20734,-1,-1,0,1,3,0,1,89.77998,1.669999,221.8717,2,3.01004,7.06468,70.06998,89.77998,89.77998,0.4899995,0.6699994,0.6699994,2,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,9.575966,7.571876,9.091982,3.630986,3.02781,-1,-1,0,0,3.546437,11.03339,-1,-1,-1,0,1,2,0,0,98.27998,1.719999,225.3359,1,3.737768,7.571874,72.51999,98.27998,98.27998,0.4899995,0.7199993,0.7199993,2,0,0,0,0,0
3faf4abc-9759-4634-a470-1bb915999669,10.07606,8.071974,6.783815,7.774933,5.655246,-1,-1,1,0,4.242545,9.005878,-1,-1,-1,0,1,2,0,0,529.3798,2.119999,281.2697,2,3.611289,8.071974,497.3198,529.3798,529.3798,0.8399994,1.119999,1.119999,2,0,1,0,0,0
