SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
6706fe73-749c-4b5d-859e-60b34beee3b3,1.000572,0,-1,-1,-1,-1,-1,0,0,7.277235,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,1.501847,0.5012753,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,4.1,1.04,0,0,0,0,4.1,4.1,4.1,1.04,1.04,1.04,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,2.017651,1.017079,8.296233,-1,-1,-1,-1,0,0,9.028228,-1,-1,-1,-1,0,0,1,0,0,10.55,1.1,29.09242,5,0.6660247,0,10.55,10.55,10.55,1.1,1.1,1.1,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,2.518083,1.517511,7.113023,-1,-1,-1,-1,0,0,9.179148,-1,-1,-1,-1,0,0,1,0,0,15.05,1.14,185.9156,7,1.618524,0,15.05,15.05,15.05,1.14,1.14,1.14,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,3.019125,2.018553,5.402947,-1,-1,-1,-1,0,0,10.47022,-1,-1,-1,-1,0,0,1,0,0,20.9,1.19,59.3891,1,1.846408,0,20.9,20.9,20.9,1.19,1.19,1.19,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,3.5206,2.520029,2.010994,-1,-1,-1,-1,0,0,13.8792,-1,-1,-1,-1,0,0,1,0,0,27,1.24,78.86971,3,3.549092,0,27,27,27,1.24,1.24,1.24,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,4.021333,3.020761,4.84355,-1,-1,-1,-1,1,0,15.71354,-1,-1,-1,-1,0,0,1,0,0,327.75,1.49,304.3582,5,2.549715,0,327.75,327.75,327.75,1.49,1.49,1.49,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,4.522539,3.521967,3.51167,-1,-1,-1,-1,0,0,14.21478,-1,-1,-1,-1,0,0,1,0,0,335.35,1.54,208.6094,2,2.192071,0,335.35,335.35,335.35,1.54,1.54,1.54,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,5.023164,4.022593,2.253394,-1,-1,-1,-1,0,0,12.40773,-1,-1,-1,-1,0,0,1,0,0,343.2,1.59,303.1707,2,2.783808,0,343.2,343.2,343.2,1.59,1.59,1.59,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,5.523844,4.523272,-1,-1,-1,-1,-1,1,0,12.00273,15.89277,-1,-1,-1,0,0,2,0,0,715.7,1.84,334.765,5,2.785712,0,715.7,715.7,715.7,1.84,1.84,1.84,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,6.024106,5.023534,10.3663,-1,-1,-1,-1,0,0,10.81456,12.97457,-1,-1,-1,0,0,2,0,0,725.0499,1.89,198.2996,3,2.314761,0,725.0499,725.0499,725.0499,1.89,1.89,1.89,0,0,0,0,0,0
6706fe73-749c-4b5d-859e-60b34beee3b3,6.524244,5.523672,10.26842,-1,-1,-1,-1,0,0,11.66988,12.85459,-1,-1,-1,0,0,2,0,0,734.6499,1.94,30.66674,4,1.879111,0,730.5499,734.6499,734.6499,-2.16,1.94,1.94,0,0,0,0,0,0
