SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
72d04c0c-2a8f-4d57-9e2f-450c21293689,1.000151,0,-1,-1,-1,-1,-1,0,0,13.76337,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,1.501445,0.5012939,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,4.1,1.04,0,0,0,0.5012939,4.1,4.1,4.1,0.03999996,0.03999996,0.03999996,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,2.004228,1.004077,3.98806,-1,-1,-1,-1,0,0,7.528049,-1,-1,-1,-1,0,0,1,0,0,9.45,1.09,90,5,0.2383702,1.004076,9.45,9.45,9.45,0.08999991,0.08999991,0.08999991,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,2.505647,1.505496,4.771698,-1,-1,-1,-1,0,0,5.781722,-1,-1,-1,-1,0,0,1,0,0,15.05,1.14,357.1944,4,1.41229,1.505495,15.05,15.05,15.05,0.1399999,0.1399999,0.1399999,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,3.006577,2.006427,3.988606,-1,-1,-1,-1,0,0,3.543911,-1,-1,-1,-1,0,1,1,0,0,20.9,1.19,17.43873,4,1.422113,2.006426,20.9,20.9,20.9,0.1899998,0.1899998,0.1899998,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,3.507843,2.507693,3.045349,-1,-1,-1,-1,0,0,2.810792,-1,-1,-1,-1,0,1,1,0,0,27,1.24,346.2909,6,1.214201,2.507694,27,27,27,0.2399998,0.2399998,0.2399998,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,4.008855,3.008704,1.473986,4.050949,-1,-1,-1,0,0,3.706839,-1,-1,-1,-1,0,1,1,0,0,33.35,1.29,89.08711,0,1.975065,3.008704,33.35,33.35,33.35,0.2899997,0.2899997,0.2899997,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,4.509383,3.509232,2.836767,6.489029,-1,-1,-1,0,0,6.384936,-1,-1,-1,-1,0,0,1,0,0,39.95,1.34,95.84015,5,3.535296,3.509231,39.95,39.95,39.95,0.3399997,0.3399997,0.3399997,0,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,5.010605,4.010454,3.738076,6.713243,-1,-1,-1,0,0,7.053832,-1,-1,-1,-1,0,0,1,0,1,46.8,1.39,203.7548,1,2.588624,4.010456,46.8,46.8,46.8,0.3899996,0.3899996,0.3899996,1,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,5.511425,4.511274,2.773906,4.114884,-1,-1,-1,0,0,16.17017,-1,-1,-1,-1,0,0,1,0,0,53.89999,1.44,256.9915,1,3.054241,4.511274,53.89999,53.89999,53.89999,0.4399996,0.4399996,0.4399996,1,0,0,0,0,0
72d04c0c-2a8f-4d57-9e2f-450c21293689,6.01245,5.0123,2.456349,1.305662,9.975458,-1,-1,0,1,12.06339,-1,-1,-1,-1,0,0,1,0,0,61.24999,1.49,327.6168,2,3.248987,5.012299,61.24999,61.24999,61.24999,0.4899995,0.4899995,0.4899995,1,0,0,0,0,1
72d04c0c-2a8f-4d57-9e2f-450c21293689,6.513182,5.513031,2.892471,3.244772,9.879458,-1,-1,0,0,10.70381,-1,-1,-1,-1,0,0,1,0,0,68.84999,1.539999,310.6582,4,2.877924,5.513032,64.74999,68.84999,68.84999,0.4999995,0.5399995,0.5399995,1,0,0,0,0,1
72d04c0c-2a8f-4d57-9e2f-450c21293689,7.01345,6.013299,5.255555,3.724021,7.568914,-1,-1,0,0,6.783086,-1,-1,-1,-1,0,0,1,0,0,76.69999,1.589999,221.0323,1,2.774233,6.013301,67.24999,76.69999,76.69999,0.4999995,0.5899994,0.5899994,1,0,0,0,0,1
72d04c0c-2a8f-4d57-9e2f-450c21293689,7.513525,6.513373,7.007217,3.734712,5.092788,-1,-1,0,0,2.690489,-1,-1,-1,-1,0,1,1,0,0,84.79999,1.639999,223.6649,2,3.186099,6.513377,69.74998,84.79999,84.79999,0.4999995,0.6399994,0.6399994,1,0,0,0,0,1
72d04c0c-2a8f-4d57-9e2f-450c21293689,8.014858,7.014708,7.712445,4.500526,4.384062,6.532083,-1,0,1,1.200949,11.13596,-1,-1,-1,1,1,2,0,0,93.14999,1.689999,32.68484,5,1.723949,7.014708,72.24998,93.14999,93.14999,0.4999995,0.6899993,0.6899993,1,0,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,8.515125,7.514975,7.898787,5.421844,4.961909,8.143754,-1,0,0,11.7364,-1,-1,-1,-1,0,0,1,1,0,-129.692,1.03,282.8856,4,2.320253,0.3553024,-156.692,-129.692,-129.692,-0.2099998,0.02999997,0.02999997,1,1,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,9.015862,8.015712,7.734272,4.693154,4.43025,6.93893,-1,0,0,10.26098,-1,-1,-1,-1,0,0,1,0,0,-124.392,1.08,143.5656,0,1.792077,0.8560398,-157.742,-124.392,-124.392,-0.2099998,0.07999992,0.07999992,1,1,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,9.51694,8.516789,6.720162,2.993065,6.318387,3.667577,-1,0,0,7.743204,-1,-1,-1,-1,0,0,1,0,0,-118.842,1.13,130.5083,1,3.391821,1.357118,-158.792,-118.842,-118.842,-0.2099998,0.1299999,0.1299999,1,1,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,10.01699,9.016843,5.224486,2.589648,9.551845,1.041292,9.940958,0,0,5.694247,-1,-1,-1,-1,0,0,1,0,0,-113.042,1.18,70.12117,2,3.424622,1.857171,-159.842,-113.042,-113.042,-0.2099998,0.1799998,0.1799998,1,1,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,10.5175,9.517347,2.768897,1.73247,10.42973,3.422235,9.36715,0,0,4.524001,11.68829,-1,-1,-1,0,1,2,0,0,-106.992,1.23,338.86,2,2.800894,2.357677,-160.892,-106.992,-106.992,-0.2099998,0.2299998,0.2299998,1,1,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,11.0188,10.01865,1.912719,3.012373,10.51856,6.316502,7.73982,0,0,4.386604,11.64633,-1,-1,-1,0,1,2,0,0,-100.692,1.28,346.4042,6,3.109804,2.858977,-161.942,-100.692,-100.692,-0.2099998,0.2799997,0.2799997,1,1,0,0,0,2
72d04c0c-2a8f-4d57-9e2f-450c21293689,11.51921,10.51906,4.528292,4.504714,9.355658,8.114773,5.415475,0,1,6.493297,9.730067,-1,-1,-1,0,0,2,0,0,-94.14203,1.33,260.8484,1,2.985851,3.359385,-162.992,-94.14203,-94.14203,-0.2099998,0.3299997,0.3299997,1,1,0,0,0,3
72d04c0c-2a8f-4d57-9e2f-450c21293689,12.01995,11.0198,7.130486,5.200692,6.211554,8.322721,2.623692,0,0,5.555255,10.29217,-1,-1,-1,0,0,2,0,0,-87.34203,1.38,253.2116,1,3.302613,3.860133,-164.042,-87.34203,-87.34203,-0.2099998,0.3799996,0.3799996,1,1,0,0,0,3
72d04c0c-2a8f-4d57-9e2f-450c21293689,12.52096,11.52081,9.393408,7.32402,5.273041,10.15366,-1,1,1,3.043495,-1,-1,-1,-1,0,1,1,0,0,274.0579,1.78,18.98229,5,2.735383,4.361135,189.2579,274.0579,274.0579,0.1400002,0.7799996,0.7799996,1,1,1,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,13.02131,12.02115,7.529268,5.595997,6.044184,8.673299,-1,0,0,4.103559,10.78798,-1,-1,-1,0,1,2,0,0,283.1079,1.83,134.2889,1,2.121995,4.861485,189.9579,283.1079,283.1079,0.1400002,0.8299996,0.8299996,1,1,1,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,13.52157,12.52142,6.126465,2.984791,5.96781,5.552415,-1,0,0,7.029147,8.618114,-1,-1,-1,0,0,2,0,0,292.4079,1.88,136.8897,3,3.194926,5.361749,422.0999,287.2579,292.4079,0.8499995,0.8299996,0.8799995,1,1,1,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,14.0233,13.02315,5.198328,1.829628,8.447655,2.025126,-1,0,0,10.3422,11.54979,-1,-1,-1,0,0,2,0,0,301.9579,1.929999,112.2675,4,3.599017,5.863481,426.3499,291.4079,301.9579,0.8499995,0.8299996,0.9299995,1,1,1,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,14.52451,13.52436,3.306798,2.587918,11.06852,2.967161,-1,0,0,13.18892,13.9023,-1,-1,-1,0,0,2,0,0,311.7579,1.979999,30.22927,2,3.056204,6.364689,430.5999,295.5579,311.7579,0.8499995,0.8299996,0.9799994,1,1,1,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,15.02494,14.02479,0.9063863,2.853274,11.19794,5.565305,-1,0,0,12.92344,-1,-1,-1,-1,0,0,1,0,0,321.8079,2.029999,324.8187,1,3.061129,6.865118,434.8499,299.7079,321.8079,0.8499997,0.8299997,1.029999,1,1,1,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,15.52499,14.52484,-1,2.490648,9.130323,6.08788,-1,1,0,10.90515,12.30463,-1,-1,-1,0,0,2,0,0,809.8578,2.429999,220.409,3,2.774138,7.365163,916.8498,782.8578,809.8578,1.2,1.19,1.429999,1,1,2,0,0,4
72d04c0c-2a8f-4d57-9e2f-450c21293689,16.02515,15.025,-1,1.230151,9.638183,4.489541,-1,0,1,11.87396,13.25745,-1,-1,-1,0,0,2,0,0,822.1578,2.479999,104.9724,3,2.179777,7.865332,922.8498,788.8078,822.1578,1.2,1.19,1.479999,1,1,2,0,0,5
72d04c0c-2a8f-4d57-9e2f-450c21293689,16.52621,15.52606,-1,1.831372,10.3929,2.986899,-1,0,0,11.70235,-1,-1,-1,-1,0,0,1,0,0,834.7078,2.529999,219.5468,3,2.383473,8.366388,928.8499,794.7578,834.7078,1.2,1.19,1.529999,1,1,2,0,0,5
72d04c0c-2a8f-4d57-9e2f-450c21293689,17.027,16.02685,-1,2.029837,8.354065,1.941528,-1,0,0,8.904646,12.36111,-1,-1,-1,0,0,2,0,0,847.5078,2.579999,204.7155,5,2.561563,8.867178,934.8499,800.7078,847.5078,1.2,1.19,1.579999,1,1,2,0,0,5
72d04c0c-2a8f-4d57-9e2f-450c21293689,17.52701,16.52686,-1,4.656329,7.040347,3.186812,-1,0,0,7.672687,13.71836,-1,-1,-1,0,0,2,0,0,860.5578,2.629999,258.3344,2,2.968351,9.367177,586.4999,806.6578,860.5578,0.8499995,1.19,1.629999,1,1,2,0,0,5
72d04c0c-2a8f-4d57-9e2f-450c21293689,18.02735,17.0272,-1,5.890959,3.995827,5.99989,-1,0,0,5.054795,13.44232,-1,-1,-1,0,0,2,0,0,873.8578,2.679999,308.6603,1,3.138031,9.86752,590.7499,812.6078,873.8578,0.8499995,1.19,1.679999,1,1,2,0,0,5
72d04c0c-2a8f-4d57-9e2f-450c21293689,18.52759,17.52744,-1,6.654254,2.355049,8.339656,-1,0,1,2.884549,9.498466,11.68157,-1,-1,0,1,3,0,0,887.4078,2.729999,350.5518,3,3.502683,10.36776,594.9999,818.5578,887.4078,0.8499995,1.19,1.729999,1,1,2,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,19.02819,18.02804,-1,6.90586,4.795158,9.619899,-1,0,0,2.625952,5.887763,9.156167,-1,-1,0,1,3,0,0,898.4278,2.769999,66.72013,5,3.158841,10.86836,596.4699,821.7278,898.4278,0.8399996,1.18,1.769999,1,1,2,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,19.52911,18.52896,-1,6.414835,3.906454,8.82296,-1,0,0,3.97009,5.092209,7.929052,-1,-1,0,1,3,0,0,912.4278,2.819999,235.5104,2,1.745308,11.36928,600.6699,827.6278,912.4278,0.8399996,1.18,1.819999,1,1,2,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,20.02923,19.02908,-1,8.396311,1.357939,9.976873,-1,0,0,6.630027,7.960219,9.11023,11.91589,-1,0,0,4,0,0,926.6778,2.869999,202.2944,4,2.881083,11.86941,604.8699,833.5278,926.6778,0.8399994,1.18,1.869999,1,1,2,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,20.52933,19.52918,-1,7.511068,-1,8.282634,-1,1,0,5.38034,7.264562,9.329949,11.10516,-1,0,0,4,0,0,1588.578,3.269999,112.0933,0,2.71721,12.3695,778.7198,1718.27,1588.578,0.8399994,2.239999,2.269999,1,1,3,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,21.03006,20.02991,-1,4.656806,-1,4.888906,-1,0,0,2.255882,3.387321,8.313867,8.487635,10.29729,1,2,5,0,0,1605.078,3.319999,93.74748,0,3.406163,12.87024,782.92,1729.47,1605.078,0.8399994,2.239999,2.319999,1,1,3,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,21.5312,20.53105,-1,2.400646,-1,1.475391,-1,0,0,3.305918,4.078725,6.48227,7.381644,8.351817,0,2,5,0,0,1621.828,3.369999,82.69444,2,3.825593,13.37136,787.1198,1740.67,1621.828,0.8399994,2.239999,2.369999,1,1,3,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,22.03179,21.03164,-1,2.915489,-1,1.814942,-1,0,0,6.202899,6.425968,6.52862,6.898187,7.14983,0,0,6,0,0,1638.828,3.419999,308.7789,6,2.347064,13.87194,791.3199,1751.87,1638.828,0.8399994,2.239999,2.419999,1,1,3,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,22.5324,21.53225,-1,-1,-1,2.932645,-1,1,0,3.2547,4.031792,5.813053,6.911031,7.330287,0,2,6,0,0,2420.077,3.819999,287.5801,3,2.401781,14.37256,1559.52,2527.069,2420.077,1.189999,2.589999,2.819999,1,1,4,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,23.03248,22.03233,-1,-1,-1,3.829076,-1,0,0,2.719669,4.591831,5.744739,6.664119,11.25244,0,2,6,0,1,2439.328,3.869998,199.9104,3,2.909052,14.87264,1568.15,2540.02,2439.328,1.199999,2.589999,2.869998,2,1,4,0,0,6
72d04c0c-2a8f-4d57-9e2f-450c21293689,23.53321,22.53306,-1,-1,-1,1.981322,-1,0,1,4.501552,5.526235,6.436174,6.977141,9.62878,0,1,6,0,0,2458.827,3.919998,82.44737,1,2.271713,15.37337,1574.15,2552.969,2458.827,1.199999,2.589999,2.919998,2,1,4,0,0,7
72d04c0c-2a8f-4d57-9e2f-450c21293689,24.03461,23.03446,-1,-1,-1,1.892962,-1,0,0,3.950179,5.036655,5.475356,7.714248,10.70741,0,1,7,0,0,2478.577,3.969998,96.20757,4,3.128433,15.87477,1580.149,2565.919,2478.577,1.199999,2.589999,2.969998,2,1,4,0,0,7
72d04c0c-2a8f-4d57-9e2f-450c21293689,24.53566,23.53551,-1,-1,-1,1.779703,-1,0,0,3.683492,5.109516,5.391171,9.065359,10.46665,0,1,7,0,0,2498.577,4.019999,284.9235,3,1.852391,16.37583,1586.149,2224.519,2498.577,1.2,2.239999,3.019999,2,1,4,0,0,7
72d04c0c-2a8f-4d57-9e2f-450c21293689,25.03617,24.03602,-1,-1,-1,1.622102,-1,0,0,2.006537,4.139456,6.850613,7.752084,11.67468,1,2,5,0,0,2518.827,4.07,269.2962,4,2.569116,16.87637,1592.15,2235.719,2518.827,1.200001,2.24,3.07,2,1,4,0,0,7
72d04c0c-2a8f-4d57-9e2f-450c21293689,25.53784,24.53769,-1,-1,-1,2.429682,-1,0,0,2.121087,5.924321,6.100617,6.698426,9.48518,1,1,6,0,0,2539.328,4.120001,217.0243,5,2.717969,17.37803,950.7502,2246.92,2539.328,0.8500021,2.240001,3.120001,2,1,4,0,0,7
