SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
fdd69604-72f1-4100-8291-531ec61693c8,1.000884,0,-1,-1,-1,-1,-1,0,0,7.623595,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,1.502561,0.5016773,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,4.1,1.04,90,2,0.4701021,0,4.1,4.1,4.1,1.04,1.04,1.04,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,2.00558,1.004696,7.471315,-1,-1,-1,-1,0,0,9.673298,-1,-1,-1,-1,0,0,1,0,0,9.45,1.09,246.8676,7,1.134762,0,9.45,9.45,9.45,1.09,1.09,1.09,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,2.505787,1.504903,9.181726,-1,-1,-1,-1,0,0,6.955892,-1,-1,-1,-1,0,0,1,0,0,15.05,1.14,21.18789,5,2.158655,0,15.05,15.05,15.05,1.14,1.14,1.14,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,3.006834,2.00595,7.318004,-1,-1,-1,-1,0,0,7.276359,-1,-1,-1,-1,0,0,1,0,0,20.9,1.19,122.8532,0,2.163127,0,20.9,20.9,20.9,1.19,1.19,1.19,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,3.50829,2.507406,3.936469,-1,-1,-1,-1,0,0,9.575474,-1,-1,-1,-1,0,0,1,0,0,27,1.24,127.3312,1,3.470862,0,27,27,27,1.24,1.24,1.24,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,4.0091,3.008216,0.9576362,8.140438,-1,-1,-1,0,0,11.47852,-1,-1,-1,-1,0,0,1,0,0,33.35,1.29,52.22735,3,3.31551,0,33.35,33.35,33.35,1.29,1.29,1.29,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,4.509528,3.508644,2.006915,7.517836,-1,-1,-1,0,0,9.907465,-1,-1,-1,-1,0,0,1,0,0,39.95,1.34,194.8728,4,1.603906,0,39.95,39.95,39.95,1.34,1.34,1.34,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,5.010968,4.010084,-1,8.783669,-1,-1,-1,1,0,10.12831,-1,-1,-1,-1,0,0,1,0,0,361.1999,1.59,194.536,4,2.190081,0,361.1999,361.1999,361.1999,1.59,1.59,1.59,0,0,0,0,0,0
fdd69604-72f1-4100-8291-531ec61693c8,5.512113,4.511229,-1,7.189823,-1,-1,-1,0,0,2.179995,7.437164,-1,-1,-1,1,1,2,0,0,369.2999,1.64,308.0146,1,2.227275,0,369.2999,369.2999,369.2999,1.64,1.64,1.64,0,0,0,0,0,0
