SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
b2fa7132-4e72-49aa-96a4-13aec54b4d57,1.002051,0,-1,-1,-1,-1,-1,0,0,10.12078,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,1.502481,0.5004301,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,4.1,1.04,0,0,0,0,4.1,4.1,4.1,1.04,1.04,1.04,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,2.008998,1.006948,7.508624,-1,-1,-1,-1,0,0,11.94061,-1,-1,-1,-1,0,0,1,0,0,9.45,1.09,231.2507,6,0.8711389,0,9.45,9.45,9.45,1.09,1.09,1.09,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,2.510925,1.508875,7.898717,-1,-1,-1,-1,0,0,11.90238,-1,-1,-1,-1,0,0,1,0,0,15.05,1.14,57.70281,3,1.606749,0,15.05,15.05,15.05,1.14,1.14,1.14,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,3.012758,2.010708,5.549678,-1,-1,-1,-1,0,0,8.854043,-1,-1,-1,-1,0,0,1,0,0,20.9,1.19,84.58195,2,2.70506,0,20.9,20.9,20.9,1.19,1.19,1.19,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,3.513392,2.511342,3.906777,-1,-1,-1,-1,0,0,7.331342,-1,-1,-1,-1,0,0,1,0,0,27,1.24,21.72601,4,2.027093,0,27,27,27,1.24,1.24,1.24,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,4.015471,3.013421,2.168277,5.845741,-1,-1,-1,0,0,5.028711,-1,-1,-1,-1,0,0,1,0,0,33.35,1.29,55.19935,2,2.169729,0,33.35,33.35,33.35,1.29,1.29,1.29,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,4.517576,3.515526,-1,8.061639,-1,-1,-1,1,0,4.749799,-1,-1,-1,-1,0,1,1,0,0,374.6499,1.69,312.5011,4,2.746173,0,374.6499,374.6499,374.6499,1.69,1.69,1.69,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,5.019094,4.017044,-1,7.943856,-1,-1,-1,0,0,6.040791,-1,-1,-1,-1,0,0,1,0,0,383.2499,1.74,241.9523,2,2.41035,0,383.2499,383.2499,383.2499,1.74,1.74,1.74,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,5.523615,4.521564,-1,8.155553,-1,-1,-1,0,0,8.12769,13.06656,-1,-1,-1,0,0,2,0,0,392.0999,1.79,247.5565,0,1.925911,0,392.0999,392.0999,392.0999,1.79,1.79,1.79,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,6.02553,5.023479,2.319986,7.238569,-1,-1,-1,0,0,11.79821,-1,-1,-1,-1,0,0,1,0,0,401.1999,1.84,175.5839,5,1.255952,0,401.1999,401.1999,401.1999,1.84,1.84,1.84,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,6.527479,5.525429,4.333904,7.748813,-1,-1,-1,0,0,8.675805,-1,-1,-1,-1,0,0,1,0,0,410.5499,1.89,258.7829,0,2.498629,0,405.3999,410.5499,410.5499,-3.26,1.89,1.89,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,7.028533,6.026482,6.732921,10.58954,-1,-1,-1,0,0,4.1133,-1,-1,-1,-1,0,1,1,0,0,420.1499,1.939999,301.5154,4,3.283128,0,410.6999,420.1499,420.1499,-7.51,1.939999,1.939999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,7.529902,6.527852,6.553625,12.48975,-1,-1,-1,0,0,2.225427,8.049215,-1,-1,-1,1,1,2,0,0,429.9999,1.989999,349.9745,2,2.729001,0,414.95,429.9999,429.9999,-13.06,1.989999,1.989999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,8.031278,7.029227,8.157683,14.46803,5.078038,-1,-1,0,0,3.192471,5.188328,-1,-1,-1,0,1,2,0,0,440.0999,2.039999,225.938,3,2.506356,0,419.2,440.0999,440.0999,-18.86,2.039999,2.039999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,8.531639,7.529589,9.233184,13.86521,2.510547,-1,-1,0,0,2.170719,3.566822,-1,-1,-1,1,2,2,0,0,450.4499,2.089999,190.3036,5,2.757525,0,423.4499,450.4499,450.4499,-24.91,2.089999,2.089999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,9.033652,8.031602,9.795898,12.16636,2.875517,-1,-1,0,0,3.884421,4.58464,-1,-1,-1,0,2,2,0,0,461.0499,2.139999,143.7178,6,3.230309,0,427.6999,461.0499,461.0499,-31.21,2.139999,2.139999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,9.534522,8.532472,9.385982,11.63585,3.376927,-1,-1,0,0,3.938497,5.253859,6.215608,-1,-1,0,1,3,0,0,471.8999,2.189999,312.0097,5,1.542238,0,97.25,471.8999,471.8999,-372.4599,2.189999,2.189999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,10.03591,9.033862,7.644693,10.83424,4.305678,8.205042,-1,0,0,2.860981,5.165114,5.564316,-1,-1,0,1,3,0,0,482.9999,2.239999,47.71879,3,1.84972,0,99.75,482.9999,482.9999,-381.0099,2.239999,2.239999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,10.53712,9.535074,7.95376,11.78385,3.613867,9.218139,-1,0,0,3.624666,5.054622,7.395924,-1,-1,0,1,3,0,0,494.3499,2.289999,258.796,4,1.307559,0,102.25,494.3499,494.3499,-389.8099,2.289999,2.289999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,11.03858,10.03652,8.194311,11.07204,3.941165,8.307764,-1,0,0,2.587373,5.473232,8.360219,-1,-1,0,1,3,0,0,505.9499,2.339999,117.2035,3,1.298695,0,104.75,505.9499,505.9499,-398.8599,2.339999,2.339999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,11.53924,10.53719,8.426793,10.14751,4.838549,7.178268,-1,0,0,1.26422,7.169934,9.111561,12.7343,-1,1,1,4,0,0,517.7999,2.389999,155.612,3,1.429028,0,107.25,517.7999,517.7999,-408.1599,2.389999,2.389999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,12.04039,11.03834,9.760592,10.72341,4.692218,7.484846,11.7663,0,0,2.483074,9.867695,11.31637,11.63501,-1,0,1,4,0,0,529.8999,2.439999,256.7549,5,1.872106,0,109.75,529.8999,529.8999,-417.7099,2.439999,2.439999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,12.54222,11.54017,10.27199,11.17105,4.484983,7.877894,12.29033,0,0,3.927066,10.7883,11.84183,13.16659,-1,0,1,4,0,0,542.2499,2.489999,85.32929,4,1.517828,0,112.2499,542.2499,542.2499,-427.5099,2.489999,2.489999,0,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,13.04436,12.04231,9.205079,9.859994,5.43786,6.644501,10.95943,0,0,5.864061,8.379577,8.515953,12.12188,13.20219,0,0,5,0,1,554.8499,2.539999,278.988,2,1.588734,0,114.75,554.8499,554.8499,-437.5599,2.539999,2.539999,1,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,13.54514,12.54309,8.611502,10.38245,4.614317,7.39253,10.97794,0,0,6.152615,7.656754,7.972687,13.37491,14.98481,0,0,5,0,1,567.7,2.589999,356.2149,2,1.34722,0,117.25,562.5499,567.7,-447.8599,-2.560001,2.589999,2,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,14.04662,13.04457,6.943149,10.624,4.798274,8.196151,10.26953,0,0,5.990273,6.388107,7.383899,13.78879,-1,0,0,4,0,1,578.1599,2.629999,98.68668,3,2.389258,0,117.11,567.6099,578.1599,-458.4199,-7.92,2.629999,3,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,14.54769,13.54564,7.434477,9.686208,5.305159,6.964299,9.938786,0,0,4.710797,5.712344,8.655704,9.026982,15.46252,0,1,5,0,1,591.4599,2.679999,136.2684,3,1.538773,0,119.56,575.2599,591.4599,-469.2199,-13.52,2.679999,4,0,0,0,0,0
b2fa7132-4e72-49aa-96a4-13aec54b4d57,15.04887,14.04682,6.285099,8.835492,6.336944,6.433338,8.77866,0,0,2.610421,5.165557,7.695989,10.85024,-1,0,1,4,0,1,605.0099,2.729999,39.52993,2,1.392484,0,122.0099,582.9099,605.0099,-480.2699,-19.37,2.729999,5,0,0,0,0,0
