SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
bcf197a9-66d5-458a-8848-c86873a73d88,1.000999,0,-1,-1,-1,-1,-1,0,0,11.50119,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,1.507516,0.5065166,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,4.1,1.04,0,0,0,0,4.1,4.1,4.1,1.04,1.04,1.04,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,2.012097,1.011098,4.975511,-1,-1,-1,-1,0,0,11.65156,-1,-1,-1,-1,0,0,1,0,0,9.45,1.09,288.6869,5,0.9663849,0,9.45,9.45,9.45,1.09,1.09,1.09,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,2.513982,1.512982,5.862437,-1,-1,-1,-1,0,0,11.22146,-1,-1,-1,-1,0,0,1,0,0,15.05,1.14,119.3785,5,1.691209,0,15.05,15.05,15.05,1.14,1.14,1.14,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,3.014817,2.013818,4.354788,-1,-1,-1,-1,0,0,8.504551,-1,-1,-1,-1,0,0,1,0,0,20.9,1.19,250.9612,2,1.830236,0,20.9,20.9,20.9,1.19,1.19,1.19,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,3.517832,2.516832,1.395739,-1,-1,-1,-1,0,0,4.925298,-1,-1,-1,-1,0,0,1,0,0,27,1.24,194.246,2,3.115095,0,27,27,27,1.24,1.24,1.24,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,4.018746,3.017747,11.29284,-1,-1,-1,-1,2,0,4.844697,-1,-1,-1,-1,0,0,1,0,0,746.1498,1.99,234.4259,5,2.69523,0,746.1498,746.1498,746.1498,1.99,1.99,1.99,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,4.521883,3.520883,9.643378,-1,-1,-1,-1,0,0,5.547843,-1,-1,-1,-1,0,0,1,0,0,756.2499,2.04,48.63202,1,2.026147,0,756.2499,756.2499,756.2499,2.04,2.04,2.04,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,5.023067,4.022068,6.59761,-1,-1,-1,-1,0,0,8.101306,-1,-1,-1,-1,0,0,1,0,0,766.5999,2.09,107.3211,1,3.221659,0,766.5999,766.5999,766.5999,2.09,2.09,2.09,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,5.523728,4.522729,3.806709,-1,-1,-1,-1,0,0,7.441146,11.80456,-1,-1,-1,0,0,2,0,0,777.1999,2.14,88.38821,2,3.447908,0,777.1999,777.1999,777.1999,2.14,2.14,2.14,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,6.024741,5.023741,0.8214318,1.989044,-1,-1,-1,0,0,3.996477,13.52679,-1,-1,-1,0,1,2,0,0,788.0499,2.19,15.79397,3,3.204612,0,788.0499,788.0499,788.0499,2.19,2.19,2.19,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,6.527181,5.526181,-1,3.636676,-1,-1,-1,2,0,3.729941,13.5786,-1,-1,-1,0,1,2,0,0,1888.65,2.939999,147.8422,6,2.008615,0,1883.5,1888.65,1888.65,-2.21,2.939999,2.939999,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,7.030341,6.029342,-1,3.316989,-1,-1,-1,0,0,3.264019,17.58131,-1,-1,-1,0,1,2,0,0,1903.5,2.989999,23.98333,5,1.323863,0,1895.14,1903.5,1903.5,-5.37,2.989999,2.989999,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,7.531834,6.530835,-1,2.935519,-1,-1,-1,0,0,2.793438,16.87512,-1,-1,-1,0,1,2,0,0,1918.6,3.039999,185.8566,3,1.747045,0,1904.69,1918.6,1918.6,-10.87,3.039999,3.039999,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,8.033287,7.032288,13.4544,-1,-1,-1,-1,1,0,1.52454,14.05057,-1,-1,-1,1,1,2,0,0,2618.649,3.439999,225.9604,8,2.921407,0,2598.939,2618.649,2618.649,-16.27,3.439999,3.439999,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,8.53564,7.53464,13.84022,-1,-1,-1,-1,0,0,3.24267,7.416834,13.9009,-1,-1,0,1,3,0,0,2635.999,3.489999,19.41665,3,1.710048,0,2610.239,2635.999,2635.999,-22.27,3.489999,3.489999,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,9.036618,8.035619,12.00047,-1,-1,-1,-1,0,0,3.701129,5.661676,12.31424,-1,-1,0,1,3,0,0,2650.059,3.529999,322.6335,1,2.602448,0,1905.899,2650.059,2650.059,-740.6298,3.529999,3.529999,0,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,9.539899,8.538899,8.677043,-1,-1,-1,-1,0,0,3.265769,6.508371,9.200987,9.381392,-1,0,1,4,0,1,2667.86,3.579999,283.4116,0,3.448901,0,1913.65,2667.86,2667.86,-750.6299,3.579999,3.579999,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,10.04275,9.041753,4.939084,3.268423,-1,-1,-1,0,0,2.675603,7.253417,8.77637,10.70115,10.89593,0,1,5,0,0,2685.91,3.629999,272.5606,0,3.933557,0,1921.4,2685.91,2685.91,-760.8799,3.629999,3.629999,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,10.54564,9.544644,1.804357,-1,-1,-1,-1,1,0,4.094488,7.829041,10.90662,11.86967,-1,0,1,4,0,0,3508.559,4.029999,298.2191,3,3.866804,0,2733.5,3508.559,3508.559,-771.0298,4.029999,4.029999,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,11.04606,10.04506,-1,-1,-1,-1,-1,2,0,5.426261,8.135633,9.903621,10.10855,19.71323,0,0,5,0,0,5364.259,4.78,60.55527,2,2.675147,0,4578.399,5364.259,5364.259,-781.0798,4.78,4.78,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,11.54691,10.54591,-1,-1,-1,-1,-1,0,0,4.586108,5.284387,6.109606,7.334632,10.95434,0,1,6,0,0,5388.309,4.830001,134.0459,1,2.558371,0,3502.599,5388.309,5388.309,-1880.88,4.830001,4.830001,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,12.04733,11.04634,4.393535,-1,-1,-1,-1,0,0,3.410309,3.789042,5.290052,6.596018,8.529723,0,2,7,0,0,5412.609,4.880002,144.8539,2,3.406892,0,3512.099,5412.609,5412.609,-1895.63,4.880002,4.880002,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,12.54977,11.54877,1.873895,-1,-1,-1,-1,0,0,3.602366,5.347157,6.126651,6.938276,9.262589,0,1,8,0,0,5437.159,4.930004,84.73354,4,3.235378,0,3521.6,5437.159,5437.159,-1910.63,4.930004,4.930004,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,13.0521,12.05111,1.513924,-1,-1,-1,-1,0,0,2.435294,3.266776,7.071798,8.064137,10.31454,0,2,9,0,0,5461.959,4.980005,192.6618,3,2.77985,0,2846.75,5461.959,5461.959,-2610.229,4.980005,4.980005,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,13.55537,12.55437,-1,-1,-1,-1,-1,1,0,3.146891,4.074282,5.07423,7.146146,8.194009,0,2,9,0,0,6558.061,5.380006,338.623,2,1.972048,0,3925.551,6552.911,6558.061,-2627.129,0.2300062,5.380006,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,14.05704,13.05604,3.678535,-1,-1,-1,-1,0,0,2.383233,4.622573,4.902827,5.28126,7.507595,0,2,9,0,0,6585.111,5.430007,21.4093,4,2.865401,0,3935.052,6575.661,6585.111,-2644.629,-4.019993,5.430007,1,0,0,0,0,0
bcf197a9-66d5-458a-8848-c86873a73d88,14.55989,13.55889,4.21032,-1,-1,-1,-1,0,0,3.167894,4.218959,4.551023,5.087305,7.141013,0,3,10,0,0,6612.411,5.480008,147.1254,1,2.410631,0,3944.552,6597.361,6612.411,-2662.38,-9.569991,5.480008,1,0,0,0,0,0
