SequenceID,TimeStamp,RelativeTime,CollectableCoin1Distance,CollectableCoin2Distance,CollectableCoin3Distance,CollectableCoin4Distance,CollectableCoin5Distance,TimeStepCoinsCollected,TimeStepCoinNearMiss,Asteroid1Distance,Asteroid2Distance,Asteroid3Distance,Asteroid4Distance,Asteroid5Distance,AsteroidsInCloseRange,AsteroidsInMediumRange,AsteroidsOnScreen,TimeStepHitByAsteroids,TimeStepAsteroidNearMiss,ScoreCount,MultiplierAmount,ShipOrientation,PlayerInputCount,ShipDistanceTravelled,TimeWithoutHit,VeryRecentScoreDifference,RecentScoreDifference,LongTermScoreDifference,VeryRecentMultiplierDifference,RecentMultiplierDifference,LongTermMultiplierDifference,TotalAsteroidNearMisses,TotalAsteroidHits,TotalCoinCollected,First30SecondsAsteroidHits,First30SecondsCoinsCollected,TotalCoinNearmisses
c649d49f-ebfd-4f48-928b-ca8401b1ce20,1.001526,0,-1,-1,-1,-1,-1,0,0,13.47267,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,1.504456,0.5029297,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,4.1,1.04,90,0,0.3267285,0,4.1,4.1,4.1,1.04,1.04,1.04,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,2.009899,1.008373,1.419306,-1,-1,-1,-1,0,0,9.526266,-1,-1,-1,-1,0,0,1,0,0,9.45,1.09,90,0,0.08020777,0,9.45,9.45,9.45,1.09,1.09,1.09,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,2.512212,1.510685,1.405716,-1,-1,-1,-1,0,0,7.627119,-1,-1,-1,-1,0,0,1,0,0,15.05,1.14,90,0,0.0177899,0,15.05,15.05,15.05,1.14,1.14,1.14,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,3.014495,2.012969,-1,-1,-1,-1,-1,1,0,4.52837,-1,-1,-1,-1,0,1,1,0,0,297.1,1.39,7.308945,6,1.439529,0,297.1,297.1,297.1,1.39,1.39,1.39,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,3.517709,2.516182,-1,-1,-1,-1,-1,0,0,3.400356,-1,-1,-1,-1,0,1,1,0,0,304.2,1.44,109.1473,5,1.255933,0,304.2,304.2,304.2,1.44,1.44,1.44,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,4.01897,3.017443,6.644228,-1,-1,-1,-1,0,0,2.644929,-1,-1,-1,-1,0,1,1,0,0,311.55,1.49,38.91289,5,1.474852,0,311.55,311.55,311.55,1.49,1.49,1.49,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,4.520886,3.51936,5.072047,-1,-1,-1,-1,0,0,3.317459,-1,-1,-1,-1,0,1,1,0,0,319.15,1.54,114.0455,7,1.993261,0,319.15,319.15,319.15,1.54,1.54,1.54,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,5.024185,4.022659,2.983106,-1,-1,-1,-1,0,0,6.907415,-1,-1,-1,-1,0,0,1,0,0,327,1.59,48.75649,4,2.776982,0,327,327,327,1.59,1.59,1.59,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,5.526803,4.525276,-1,-1,-1,-1,-1,1,0,1.786828,11.31042,-1,-1,-1,1,1,2,0,0,701.2999,1.84,354.1725,4,2.565347,0,701.2999,701.2999,701.2999,1.84,1.84,1.84,0,0,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,6.030011,5.028484,3.303716,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,357.0679,1.03,254.8872,1,2.238905,0,357.0679,357.0679,357.0679,1.03,1.03,1.03,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,6.532228,5.530702,2.428721,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,362.3679,1.08,197.0296,2,3.179551,0,358.2679,362.3679,362.3679,-3.02,1.08,1.08,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,7.035082,6.033556,1.662794,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,367.9179,1.13,122.1154,5,1.721197,0,358.4679,367.9179,367.9179,-8.32,1.13,1.13,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,7.539247,6.53772,1.735799,-1,-1,-1,-1,0,0,8.461191,-1,-1,-1,-1,0,0,1,0,0,373.7179,1.18,109.0163,3,2.779741,0,358.6679,373.7179,373.7179,-13.87,1.18,1.18,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,8.039248,7.037722,2.513741,10.41503,-1,-1,-1,0,0,7.025455,-1,-1,-1,-1,0,0,1,0,0,379.7679,1.23,346.1506,2,2.477004,0,82.66794,379.7679,379.7679,-295.87,1.23,1.23,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,8.541377,7.539851,-1,7.93784,-1,-1,-1,1,0,7.71179,-1,-1,-1,-1,0,0,1,0,0,680.2678,1.48,280.9069,1,2.830228,0,376.0678,680.2678,680.2678,-302.72,1.48,1.48,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,9.044574,8.043047,-1,4.390115,-1,-1,-1,0,0,8.321314,-1,-1,-1,-1,0,0,1,0,0,686.2878,1.52,258.4103,3,3.582801,0,374.7379,686.2878,686.2878,-310.03,1.52,1.52,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,9.545908,8.544382,-1,1.800171,-1,-1,-1,0,0,8.588128,-1,-1,-1,-1,0,0,1,0,0,694.0378,1.57,248.3002,3,3.746373,0,374.8878,694.0378,694.0378,-317.58,1.57,1.57,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,10.04983,9.048306,2.621517,2.356671,-1,-1,-1,0,0,9.988127,-1,-1,-1,-1,0,0,1,0,0,702.0378,1.62,326.1532,3,3.295028,0,375.0379,702.0378,702.0378,-325.38,1.62,1.62,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,10.55019,9.548664,5.020793,1.880061,-1,-1,-1,0,0,8.740322,12.94004,-1,-1,-1,0,0,2,0,0,710.2878,1.67,42.70292,4,2.663112,0,8.987915,710.2878,710.2878,-699.6299,1.67,1.67,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,11.0509,10.04937,6.217713,2.07954,-1,-1,-1,0,0,5.261193,13.60936,-1,-1,-1,0,0,2,0,0,718.7878,1.72,128.5027,2,2.956362,0,361.7199,718.7878,718.7878,-355.3479,1.72,1.72,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,11.55406,10.55254,6.137486,3.25465,-1,-1,-1,0,0,0.9913849,12.266,-1,-1,-1,1,1,2,0,0,727.5378,1.77,101.7533,2,2.883368,0,365.17,727.5378,727.5378,-360.5979,1.77,1.77,0,1,0,0,0,0
c649d49f-ebfd-4f48-928b-ca8401b1ce20,12.05567,11.05415,7.951267,5.012695,3.851831,-1,-1,0,0,12.69521,-1,-1,-1,-1,0,0,1,1,0,377.1803,1.05,152.6282,4,2.001976,0,9.26239,377.1803,377.1803,-366.8679,1.05,1.05,0,2,0,0,0,0
